County,ZIP Code,Total Births 2014-2016,Premature Birth Perc,Low Birth Rate Perc,Out of Wedlock Perc,Medicaid or Self-Pay Perc,Late or No Prenatal Care Perc,Infant Deaths 2014-2016 per 1000 Live Births,Infant Deaths Rate per 1000 Live Births,Neonatal Deaths 2014-2016 per 1000 Live Births,Neonatal Dearths Rate per 1000 Live Births,Teen Birth Rate per 1000,Teen Pregnancy Rate per 1000
Chemung,14825 ,14 ,30.0 ,21.4 ,50.0 ,28.6 ,7.1 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Chemung,14838 ,57 ,15.1 ,17.5 ,43.9 ,35.1 ,1.8 ,0 ,0.0 ,0 ,0.0 ,50.0 ,55.6 
Chemung,14845 ,534 ,12.6 ,7.5 ,36.1 ,31.5 ,2.1 ,4 ,7.5 ,3 ,5.6 ,12.0 ,17.6 
Chemung,14861 ,33 ,9.7 ,9.1 ,60.6 ,33.3 ,3.0 ,0 ,0.0 ,0 ,0.0 ,15.5 ,31.0 
Chemung,14864 ,48 ,8.3 ,2.1 ,47.9 ,62.5 ,0.0 ,0 ,0.0 ,0 ,0.0 ,32.5 ,32.5 
Chemung,14871 ,76 ,8.1 ,7.9 ,42.1 ,28.9 ,2.6 ,0 ,0.0 ,0 ,0.0 ,8.5 ,16.9 
Chemung,14872 ,29 ,17.9 ,6.9 ,58.6 ,48.3 ,0.0 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Chemung,14889 ,40 ,2.7 ,0.0 ,42.5 ,37.5 ,0.0 ,0 ,0.0 ,0 ,0.0 ,10.4 ,15.6 
Chemung,14894 ,31 ,16.1 ,3.2 ,48.4 ,67.7 ,0.0 ,0 ,0.0 ,0 ,0.0 ,14.8 ,29.6 
Chemung,14901 ,683 ,11.6 ,8.2 ,76.3 ,77.3 ,3.8 ,5 ,7.3 ,2 ,2.9 ,40.6 ,61.4 
Chemung,14903 ,219 ,12.0 ,7.8 ,55.7 ,51.1 ,4.1 ,3 ,13.7 ,1 ,4.6 ,20.8 ,25.0 
Chemung,14904 ,637 ,11.3 ,8.3 ,65.4 ,66.9 ,2.8 ,4 ,6.3 ,2 ,3.1 ,43.4 ,58.4 
Chemung,14905 ,280 ,6.9 ,5.4 ,45.0 ,36.8 ,3.2 ,2 ,7.1 ,2 ,7.1 ,19.1 ,26
Chenango,13136 ,10 ,10.0 ,0.0 ,70.0 ,60.0 ,10.0 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Chenango,13155 ,18 ,11.8 ,11.1 ,55.6 ,61.1 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0.0 ,10.8 
Chenango,13411 ,125 ,10.5 ,7.2 ,44.4 ,51.6 ,10.2 ,4 ,32.0 ,3 ,24.0 ,21.3 ,21.3 
Chenango,13460 ,161 ,12.2 ,6.2 ,50.9 ,50.9 ,1.3 ,0 ,0.0 ,0 ,0.0 ,33.6 ,33.6 
Chenango,13464 ,30 ,10.7 ,6.7 ,40.0 ,60.0 ,6.7 ,0 ,0.0 ,0 ,0.0 ,6.7 ,13.3 
Chenango,13730 ,73 ,6.8 ,4.1 ,42.5 ,58.9 ,8.2 ,0 ,0.0 ,0 ,0.0 ,17.7 ,17.7 
Chenango,13733 ,144 ,7.1 ,4.9 ,45.1 ,52.1 ,4.2 ,0 ,0.0 ,0 ,0.0 ,8.9 ,13.4 
Chenango,13778 ,151 ,12.9 ,6.0 ,47.0 ,54.3 ,6.0 ,1 ,6.6 ,1 ,6.6 ,17.5 ,22.7 
Chenango,13780 ,23 ,4.8 ,4.3 ,56.5 ,47.8 ,8.7 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Chenango,13801 ,40 ,7.5 ,15.0 ,62.5 ,62.5 ,5.0 ,0 ,0.0 ,0 ,0.0 ,9.8 ,19.6 
Chenango,13809 ,53 ,16.0 ,11.3 ,39.6 ,36.5 ,3.9 ,0 ,0.0 ,0 ,0.0 ,35.5 ,63.8 
Chenango,13815 ,475 ,12.6 ,8.8 ,56.0 ,57.9 ,5.3 ,2 ,4.2 ,1 ,2.1 ,19.5 ,30.8 
Chenango,13830 ,136 ,7.2 ,3.7 ,55.1 ,44.9 ,4.4 ,1 ,7.4 ,1 ,7.4 ,25.0 ,29.2 
Chenango,13832 ,25 ,8.0 ,20.0 ,48.0 ,68.0 ,8.0 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Chenango,13841 ,15 ,14.3 ,6.7 ,73.3 ,73.3 ,0.0 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Chenango,13843 ,50 ,2.1 ,4.0 ,55.1 ,44.0 ,4.0 ,1 ,20.0 ,1 ,20.0 ,19.9 ,19.9 
Chenango,13844 ,28 ,8.0 ,10.7 ,60.7 ,60.7 ,7.1 ,0 ,0.0 ,0 ,0.0 ,* ,*
Clinton,12901 ,847 ,7.5 ,4.7 ,52.1 ,54.1 ,3.7 ,2 ,2.4 ,0 ,0.0 ,9.7 ,15.4 
Clinton,12903 ,35 ,11.4 ,2.9 ,28.6 ,17.1 ,0.0 ,0 ,0.0 ,0 ,0.0 ,7.1 ,7.1 
Clinton,12910 ,61 ,11.5 ,3.3 ,54.1 ,49.2 ,1.6 ,0 ,0.0 ,0 ,0.0 ,35.5 ,42.6 
Clinton,12912 ,53 ,15.4 ,5.7 ,60.4 ,52.8 ,5.7 ,1 ,18.9 ,1 ,18.9 ,11.5 ,28.7 
Clinton,12918 ,83 ,4.9 ,4.8 ,34.9 ,27.7 ,1.2 ,0 ,0.0 ,0 ,0.0 ,19.0 ,19.0 
Clinton,12919 ,93 ,5.4 ,2.2 ,60.2 ,60.9 ,5.4 ,0 ,0.0 ,0 ,0.0 ,22.4 ,28.8 
Clinton,12921 ,72 ,12.7 ,2.8 ,37.5 ,51.4 ,1.4 ,0 ,0.0 ,0 ,0.0 ,0.0 ,0.0 
Clinton,12923 ,18 ,5.6 ,0.0 ,72.2 ,27.8 ,5.6 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Clinton,12934 ,27 ,7.4 ,3.7 ,33.3 ,48.1 ,29.6 ,0 ,0.0 ,0 ,0.0 ,22.2 ,22.2 
Clinton,12935 ,43 ,9.5 ,2.3 ,58.1 ,51.2 ,7.0 ,0 ,0.0 ,0 ,0.0 ,0.0 ,29.0 
Clinton,12952 ,15 ,20.0 ,0.0 ,60.0 ,66.7 ,0.0 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Clinton,12958 ,44 ,2.3 ,0.0 ,34.1 ,47.7 ,4.5 ,0 ,0.0 ,0 ,0.0 ,26.1 ,32.7 
Clinton,12959 ,36 ,11.1 ,2.8 ,55.6 ,47.2 ,2.8 ,0 ,0.0 ,0 ,0.0 ,15.9 ,15.9 
Clinton,12962 ,134 ,3.1 ,2.2 ,32.1 ,34.3 ,0.7 ,0 ,0.0 ,0 ,0.0 ,9.7 ,11.6 
Clinton,12972 ,155 ,6.7 ,5.2 ,32.3 ,30.3 ,1.9 ,1 ,6.5 ,0 ,0.0 ,10.2 ,11.8 
Clinton,12979 ,67 ,1.6 ,0.0 ,47.8 ,44.8 ,7.5 ,0 ,0.0 ,0 ,0.0 ,21.5 ,26.9 
Clinton,12981 ,107 ,8.7 ,6.5 ,43.0 ,41.1 ,2.8 ,0 ,0.0 ,0 ,0.0 ,9.4 ,9.4 
Clinton,12985 ,35 ,2.9 ,8.6 ,54.3 ,62.9 ,0.0 ,0 ,0.0 ,0 ,0.0 ,33.3 ,33.3 
Clinton,12992 ,145 ,7.0 ,4.8 ,46.2 ,47.6 ,1.4 ,0 ,0.0 ,0 ,0.0 ,22.8 ,22.8
Columbia,12029 ,12 ,0.0 ,0.0 ,16.7 ,18.2 ,0.0 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Columbia,12037 ,85 ,6.8 ,8.2 ,40.0 ,38.8 ,7.1 ,0 ,0.0 ,0 ,0.0 ,10.2 ,12.7 
Columbia,12060 ,23 ,13.6 ,4.3 ,30.4 ,39.1 ,0.0 ,1 ,43.5 ,0 ,0.0 ,0.0 ,0.0 
